x,f
18580.0,0.01
18590.0,0.01
18600.0,0.011
18610.0,0.011
18620.0,0.012
18630.0,0.0122
18640.0,0.013
18650.0,0.0131
18660.0,0.014
18670.0,0.015
18680.0,0.016
18690.0,0.017
18700.0,0.0182
18710.0,0.02
18720.0,0.0201
18730.0,0.021
18740.0,0.022
18750.0,0.0228
18760.0,0.023
18770.0,0.023
18780.0,0.023
18790.0,0.023
18800.0,0.023
18810.0,0.023
18820.0,0.023
18830.0,0.022
18840.0,0.022
18850.0,0.022
18860.0,0.021
18870.0,0.021
18880.0,0.02
18890.0,0.02
18900.0,0.019
18910.0,0.019
18920.0,0.0182
18930.0,0.018
18940.0,0.0174
18950.0,0.017
18960.0,0.0163
18970.0,0.016
18980.0,0.015
18990.0,0.0149
19000.0,0.014
19010.0,0.0137
19020.0,0.013
19030.0,0.013
19040.0,0.0121
19050.0,0.012
19060.0,0.0113
19070.0,0.0109
19080.0,0.01
19090.0,0.00934
19100.0,0.009
19110.0,0.00843
19120.0,0.008
19130.0,0.00739
19140.0,0.007
19150.0,0.006
19160.0,0.006
19170.0,0.00574
19180.0,0.005
19190.0,0.005
19200.0,0.005
19210.0,0.004
19220.0,0.004
19230.0,0.004
19240.0,0.004
19250.0,0.004
19260.0,0.004
19270.0,0.004
19280.0,0.004
19290.0,0.004
19300.0,0.00317
19310.0,0.003
19320.0,0.003
19330.0,0.003
19340.0,0.003
19350.0,0.003
19360.0,0.003
19370.0,0.003
19380.0,0.003
19390.0,0.003
19400.0,0.003
19410.0,0.003
19420.0,0.003
19430.0,0.002
19440.0,0.002
19450.0,0.002
19460.0,0.002
19470.0,0.002
19480.0,0.002
19490.0,0.002
19500.0,0.002
19510.0,0.002
19520.0,0.002
19530.0,0.002
19540.0,0.002
19550.0,0.002
19560.0,0.002
19570.0,0.002
19580.0,0.002
19590.0,0.002
19600.0,0.00104
19610.0,0.001
19620.0,0.001
19630.0,0.001
19640.0,0.001
19650.0,0.001
19660.0,0.001
19670.0,0.001
19680.0,0.001
19690.0,0.001
19700.0,0.001
19710.0,0.001
19720.0,0.001
19730.0,0.001
19740.0,0.001
19750.0,0.001
19760.0,0.001
19770.0,0.001
19780.0,0.001
19790.0,0.001
19800.0,0.001
19810.0,0.001
19820.0,0.001
19830.0,0.001
19840.0,0.001
19850.0,0.001
19860.0,0.001
19870.0,0.001
19880.0,0.001
19890.0,0.001
19900.0,0.001
19910.0,0.001
19920.0,0.001
19930.0,0.001
19940.0,0.001
19950.0,0.001
19960.0,0.001
19970.0,0.001
19980.0,0.001
19990.0,0.001
20000.0,0.001
20010.0,0.001
20020.0,0.001
20030.0,0.001
20040.0,0.001
20050.0,0.001
20060.0,0.001
20070.0,0.001
20080.0,0.001
20090.0,0.001
20100.0,0.001
20110.0,0.001
20120.0,0.00141
20130.0,0.002
20140.0,0.002
20150.0,0.002
20160.0,0.002
20170.0,0.002
20180.0,0.002
20190.0,0.002
20200.0,0.002
20210.0,0.002
20220.0,0.002
20230.0,0.002
20240.0,0.002
20250.0,0.002
20260.0,0.002
20270.0,0.002
20280.0,0.00198
20290.0,0.00146
20300.0,0.00105
20310.0,0.001
20320.0,0.001
20330.0,0.001
20340.0,0.001
20350.0,0.001
20360.0,0.001
20370.0,0.001
20380.0,0.001
20390.0,0.001
20400.0,0.001
20410.0,0.001
20420.0,0.001
20430.0,0.001
20440.0,0.001
20450.0,0.001
20460.0,0.001
20470.0,0.001
20480.0,0.001
20490.0,0.001
20500.0,0.001
20510.0,0.001
20520.0,0.00171
20530.0,0.002
20540.0,0.002
20550.0,0.002
20560.0,0.002
20570.0,0.002
20580.0,0.003
20590.0,0.003
20600.0,0.00382
20610.0,0.004
20620.0,0.00417
20630.0,0.005
20640.0,0.006
20650.0,0.007
20660.0,0.00773
20670.0,0.00807
20680.0,0.0097
20690.0,0.0117
20700.0,0.0131
20710.0,0.0147
20720.0,0.0164
20730.0,0.0181
20740.0,0.0207
20750.0,0.0237
20760.0,0.027
20770.0,0.0297
20780.0,0.0327
20790.0,0.037
20800.0,0.0413
20810.0,0.0449
20820.0,0.0489
20830.0,0.0538
20840.0,0.0598
20850.0,0.0645
20860.0,0.0694
20870.0,0.0741
20880.0,0.0801
20890.0,0.0851
20900.0,0.09
20910.0,0.0949
20920.0,0.0988
20930.0,0.101
20940.0,0.104
20950.0,0.107
20960.0,0.107
20970.0,0.106
20980.0,0.103
20990.0,0.1
21000.0,0.0966
21010.0,0.0893
21020.0,0.0835
21030.0,0.0792
21040.0,0.0733
21050.0,0.0684
21060.0,0.064
21070.0,0.0591
21080.0,0.0557
21090.0,0.0526
21100.0,0.0503
21110.0,0.0475
21120.0,0.0448
21130.0,0.0426
21140.0,0.0407
21150.0,0.0383
21160.0,0.0369
21170.0,0.0347
21180.0,0.0324
21190.0,0.0311
21200.0,0.0285
21210.0,0.0269
21220.0,0.0255
21230.0,0.0242
21240.0,0.0221
21250.0,0.0209
21260.0,0.0193
21270.0,0.0177
21280.0,0.0162
21290.0,0.016
21300.0,0.0144
21310.0,0.0136
21320.0,0.013
21330.0,0.0116
21340.0,0.011
21350.0,0.01
21360.0,0.01
21370.0,0.009
21380.0,0.00827
21390.0,0.008
21400.0,0.00745
21410.0,0.007
21420.0,0.007
21430.0,0.00618
21440.0,0.006
21450.0,0.006
21460.0,0.005
21470.0,0.005
21480.0,0.005
21490.0,0.005
21500.0,0.004
21510.0,0.004
21520.0,0.004
21530.0,0.004
21540.0,0.004
21550.0,0.004
21560.0,0.003
21570.0,0.003
21580.0,0.003
21590.0,0.003
21600.0,0.003
21610.0,0.003
21620.0,0.003
21630.0,0.003
21640.0,0.00207
21650.0,0.002
21660.0,0.002
21670.0,0.002
21680.0,0.002
21690.0,0.002
21700.0,0.002
21710.0,0.002
21720.0,0.002
21730.0,0.002
21740.0,0.002
21750.0,0.002
21760.0,0.002
21770.0,0.002
21780.0,0.002
21790.0,0.002
21800.0,0.002
21810.0,0.002
21820.0,0.002
21830.0,0.002
21840.0,0.002
21850.0,0.002
21860.0,0.00128
21870.0,0.002
21880.0,0.002
21890.0,0.002
21900.0,0.002
21910.0,0.002
21920.0,0.002
21930.0,0.002
21940.0,0.002
21950.0,0.002
21960.0,0.002
21970.0,0.002
21980.0,0.002
21990.0,0.002
22000.0,0.002
22010.0,0.002
22020.0,0.002
22030.0,0.002
22040.0,0.002
22050.0,0.002
22060.0,0.002
22070.0,0.002
22080.0,0.002
22090.0,0.002
22100.0,0.002
22110.0,0.002
22120.0,0.002
22130.0,0.002
22140.0,0.002
22150.0,0.003
22160.0,0.003
22170.0,0.003
22180.0,0.003
22190.0,0.003
22200.0,0.004
22210.0,0.004
22220.0,0.004
22230.0,0.00457
22240.0,0.005
22250.0,0.005
22260.0,0.00564
22270.0,0.006
22280.0,0.00667
22290.0,0.007
22300.0,0.00735
22310.0,0.008
22320.0,0.00836
22330.0,0.009
22340.0,0.009
22350.0,0.01
22360.0,0.01
22370.0,0.01
22380.0,0.01
22390.0,0.01
22400.0,0.01
22410.0,0.01
22420.0,0.00965
22430.0,0.009
22440.0,0.009
22450.0,0.008
22460.0,0.008
22470.0,0.00769
22480.0,0.007
22490.0,0.007
22500.0,0.00644
22510.0,0.006
22520.0,0.006
22530.0,0.006
22540.0,0.005
22550.0,0.005
22560.0,0.005
22570.0,0.005
22580.0,0.005
22590.0,0.004
22600.0,0.004
22610.0,0.004
22620.0,0.004
22630.0,0.004
22640.0,0.00398
22650.0,0.00301
22660.0,0.003
22670.0,0.003
22680.0,0.003
22690.0,0.003
22700.0,0.003
22710.0,0.003
22720.0,0.003
22730.0,0.003
22740.0,0.00254
22750.0,0.002
22760.0,0.002
22770.0,0.002
22780.0,0.002
22790.0,0.002
22800.0,0.002
22810.0,0.002
22820.0,0.002
22830.0,0.002
22840.0,0.002
22850.0,0.002
22860.0,0.002
22870.0,0.002
22880.0,0.002
22890.0,0.002
22900.0,0.002
22910.0,0.002
22920.0,0.002
22930.0,0.002
22940.0,0.002
22950.0,0.002
22960.0,0.002
22970.0,0.002
22980.0,0.002
22990.0,0.002
23000.0,0.002
23010.0,0.002
23020.0,0.002
23030.0,0.002
23040.0,0.002
23050.0,0.002
23060.0,0.002
23070.0,0.002
23080.0,0.002
23090.0,0.002
23100.0,0.002
23110.0,0.002
23120.0,0.002
23130.0,0.002
23140.0,0.002
23150.0,0.00133
23160.0,0.00189
23170.0,0.00107
23180.0,0.00106
23190.0,0.001
23200.0,0.001
23210.0,0.001
23220.0,0.001
23230.0,0.001
23240.0,0.001
23250.0,0.001
23260.0,0.001
23270.0,0.001
23280.0,0.001
23290.0,0.001
23300.0,0.001
23310.0,0.001
23320.0,0.001
23330.0,0.001
23340.0,0.001
23350.0,0.001
23360.0,0.001
23370.0,0.001
23380.0,0.001
23390.0,0.001
23400.0,0.001
23410.0,0.001
23420.0,0.001
23430.0,0.001
23440.0,0.001
23450.0,0.001
23460.0,0.001
23470.0,0.001
23480.0,0.001
23490.0,0.001
23500.0,0.001
23510.0,0.001
23520.0,0.001
23530.0,0.001
23540.0,0.001
23550.0,0.001
23560.0,0.001
23570.0,0.001
23580.0,0.001
23590.0,0.001
23600.0,0.001
23610.0,0.001
23620.0,0.001
23630.0,0.001
23640.0,0.001
23650.0,0.001
23660.0,0.001
23670.0,0.001
23680.0,0.001
23690.0,0.001
23700.0,0.001
23710.0,0.001
23720.0,0.001
23730.0,0.001
23740.0,0.001
23750.0,0.001
23760.0,0.001
23770.0,0.001
23780.0,0.001
23790.0,0.001
23800.0,0.001
23810.0,0.001
23820.0,0.001
23830.0,0.001
23840.0,0.001
23850.0,0.001
23860.0,0.001
23870.0,0.001
23880.0,0.001
23890.0,0.001
23900.0,0.001
23910.0,0.001
23920.0,0.001
23930.0,0.001
23940.0,0.001
23950.0,0.001
23960.0,0.001
23970.0,0.001
23980.0,0.001
23990.0,0.001
24000.0,0.001
24010.0,0.001
24020.0,0.001
24030.0,0.001
24040.0,0.001
24050.0,0.001
24060.0,0.001
24070.0,0.001
