x,f
576.0,2.156e-07
578.0,2.655e-07
580.0,3.241e-07
582.0,3.927e-07
584.0,4.723e-07
586.0,5.639e-07
588.0,6.685e-07
590.0,7.872e-07
592.0,9.51e-07
594.0,1.199e-06
596.0,1.528e-06
598.0,1.847e-06
600.0,2.155e-06
602.0,2.453e-06
604.0,2.742e-06
606.0,3.026e-06
608.0,3.308e-06
610.0,3.594e-06
612.0,3.895e-06
614.0,4.227e-06
616.0,4.609e-06
618.0,5.073e-06
620.0,5.66e-06
622.0,6.406e-06
624.0,7.41e-06
626.0,8.801e-06
628.0,1.052e-05
630.0,1.261e-05
632.0,1.512e-05
634.0,1.808e-05
636.0,2.149e-05
638.0,2.535e-05
640.0,2.97e-05
642.0,3.413e-05
644.0,4.573e-05
646.0,6.122e-05
648.0,7.642e-05
650.0,9.099e-05
652.0,0.0001048
654.0,0.0001176
656.0,0.0001294
658.0,0.0001398
660.0,0.0001488
662.0,0.0001561
664.0,0.0001616
666.0,0.0001653
668.0,0.000167
670.0,0.0001666
672.0,0.0001642
674.0,0.0001599
676.0,0.0001538
678.0,0.000146
680.0,0.0001365
682.0,0.0001256
684.0,0.0001132
686.0,9.969e-05
688.0,8.499e-05
690.0,6.925e-05
692.0,5.26e-05
694.0,4.198e-05
696.0,3.475e-05
698.0,2.933e-05
700.0,2.457e-05
702.0,2.043e-05
704.0,1.69e-05
706.0,1.394e-05
708.0,1.151e-05
710.0,9.559e-06
712.0,8.021e-06
714.0,6.826e-06
716.0,5.92e-06
718.0,5.232e-06
720.0,4.703e-06
722.0,4.285e-06
724.0,3.941e-06
726.0,3.643e-06
728.0,3.368e-06
730.0,3.106e-06
732.0,2.847e-06
734.0,2.585e-06
736.0,2.316e-06
738.0,2.04e-06
740.0,1.755e-06
742.0,1.463e-06
744.0,1.165e-06
746.0,9.093e-07
748.0,8.07e-07
750.0,6.991e-07
752.0,6.009e-07
754.0,5.118e-07
756.0,4.319e-07
758.0,3.612e-07
760.0,2.996e-07
762.0,2.465e-07
764.0,2.012e-07
766.0,1.633e-07
768.0,1.37e-07
770.0,1.172e-07
772.0,1.015e-07
774.0,8.892e-08
776.0,7.876e-08
778.0,7.053e-08
780.0,6.378e-08
782.0,5.817e-08
784.0,5.367e-08
786.0,4.988e-08
788.0,4.66e-08
790.0,4.372e-08
792.0,4.113e-08
794.0,3.874e-08
796.0,3.651e-08
798.0,3.439e-08
800.0,3.234e-08
802.0,3.033e-08
804.0,2.836e-08
806.0,2.641e-08
808.0,2.448e-08
810.0,2.255e-08
812.0,2.062e-08
814.0,1.869e-08
816.0,1.677e-08
818.0,1.532e-08
820.0,1.417e-08
822.0,1.317e-08
824.0,1.226e-08
826.0,1.143e-08
828.0,1.068e-08
830.0,1.001e-08
832.0,9.396e-09
834.0,8.846e-09
836.0,8.35e-09
838.0,7.902e-09
840.0,7.496e-09
842.0,7.125e-09
844.0,6.784e-09
846.0,6.467e-09
848.0,6.171e-09
850.0,5.892e-09
852.0,5.629e-09
854.0,5.379e-09
856.0,5.161e-09
858.0,4.952e-09
860.0,4.756e-09
862.0,4.571e-09
864.0,4.396e-09
866.0,4.232e-09
868.0,4.077e-09
870.0,3.93e-09
872.0,3.792e-09
874.0,3.662e-09
876.0,3.541e-09
878.0,3.426e-09
880.0,3.32e-09
882.0,3.221e-09
884.0,3.129e-09
886.0,3.045e-09
888.0,2.967e-09
890.0,2.898e-09
892.0,2.839e-09
894.0,2.788e-09
896.0,2.743e-09
898.0,2.706e-09
900.0,2.676e-09
902.0,2.653e-09
904.0,2.638e-09
906.0,2.633e-09
908.0,2.64e-09
910.0,2.661e-09
912.0,2.7e-09
914.0,2.76e-09
916.0,2.844e-09
918.0,2.953e-09
920.0,3.092e-09
922.0,3.26e-09
924.0,3.459e-09
926.0,3.685e-09
928.0,3.936e-09
930.0,4.205e-09
932.0,4.482e-09
934.0,4.756e-09
936.0,5.015e-09
938.0,5.255e-09
940.0,5.479e-09
942.0,5.696e-09
944.0,5.915e-09
946.0,6.139e-09
948.0,6.369e-09
950.0,6.596e-09
952.0,6.811e-09
954.0,6.999e-09
956.0,7.148e-09
958.0,7.244e-09
960.0,7.28e-09
962.0,7.252e-09
964.0,7.159e-09
966.0,7.007e-09
968.0,6.799e-09
970.0,6.547e-09
972.0,6.26e-09
974.0,5.948e-09
976.0,5.618e-09
978.0,5.279e-09
980.0,4.935e-09
982.0,4.584e-09
984.0,4.224e-09
986.0,3.849e-09
988.0,3.457e-09
990.0,3.055e-09
992.0,2.658e-09
994.0,2.285e-09
996.0,1.948e-09
998.0,1.661e-09
1000.0,1.429e-09
1002.0,1.254e-09
1004.0,1.133e-09
1006.0,1.06e-09
1008.0,1.031e-09
1010.0,1.038e-09
1012.0,1.079e-09
1014.0,1.151e-09
1016.0,1.254e-09
1018.0,1.391e-09
1020.0,1.564e-09
1022.0,1.777e-09
1024.0,2.033e-09
1026.0,2.335e-09
1028.0,2.682e-09
1030.0,3.072e-09
1032.0,3.497e-09
1034.0,3.947e-09
1036.0,4.407e-09
1038.0,4.859e-09
1040.0,5.293e-09
1042.0,5.707e-09
1044.0,6.108e-09
1046.0,6.51e-09
1048.0,6.919e-09
1050.0,7.337e-09
1052.0,7.762e-09
1054.0,8.178e-09
1056.0,8.573e-09
1058.0,8.923e-09
1060.0,9.211e-09
1062.0,9.419e-09
1064.0,9.536e-09
1066.0,9.554e-09
1068.0,9.473e-09
1070.0,9.3e-09
1072.0,9.043e-09
1074.0,8.715e-09
1076.0,8.33e-09
1078.0,7.904e-09
1080.0,7.447e-09
1082.0,6.968e-09
1084.0,6.471e-09
1086.0,5.955e-09
1088.0,5.414e-09
1090.0,4.843e-09
1092.0,4.246e-09
1094.0,3.644e-09
1096.0,3.054e-09
1098.0,2.504e-09
1100.0,2.01e-09
1102.0,1.584e-09
1104.0,1.234e-09
1106.0,9.578e-10
1108.0,7.49e-10
1110.0,5.962e-10
1112.0,4.887e-10
1114.0,4.149e-10
1116.0,3.652e-10
1118.0,3.309e-10
1120.0,3.067e-10
1122.0,2.892e-10
1124.0,2.758e-10
1126.0,2.65e-10
1128.0,2.56e-10
1130.0,2.482e-10
1132.0,2.413e-10
1134.0,2.351e-10
1136.0,2.295e-10
1138.0,2.244e-10
1140.0,2.197e-10
1142.0,2.154e-10
1144.0,2.113e-10
1146.0,2.075e-10
1148.0,2.039e-10
1150.0,2.005e-10
1152.0,1.973e-10
1154.0,1.942e-10
1156.0,1.912e-10
1158.0,1.884e-10
1160.0,1.857e-10
1162.0,1.831e-10
1164.0,1.805e-10
1166.0,1.781e-10
1168.0,1.757e-10
1170.0,1.734e-10
1172.0,1.712e-10
1174.0,1.691e-10
1176.0,1.67e-10
1178.0,1.649e-10
1180.0,1.629e-10
1182.0,1.61e-10
1184.0,1.591e-10
1186.0,1.573e-10
1188.0,1.555e-10
1190.0,1.537e-10
1192.0,1.52e-10
1194.0,1.503e-10
1196.0,1.487e-10
1198.0,1.471e-10
1200.0,1.455e-10
1202.0,1.44e-10
1204.0,1.425e-10
1206.0,1.41e-10
1208.0,1.396e-10
1210.0,1.381e-10
1212.0,1.368e-10
1214.0,1.354e-10
1216.0,1.341e-10
1218.0,1.328e-10
1220.0,1.315e-10
1222.0,1.303e-10
1224.0,1.29e-10
1226.0,1.278e-10
1228.0,1.267e-10
1230.0,1.255e-10
1232.0,1.244e-10
1234.0,1.233e-10
1236.0,1.222e-10
1238.0,1.211e-10
1240.0,1.201e-10
1242.0,1.19e-10
1244.0,1.18e-10
1246.0,1.17e-10
1248.0,1.161e-10
1250.0,1.151e-10
1252.0,1.142e-10
1254.0,1.133e-10
1256.0,1.124e-10
1258.0,1.115e-10
1260.0,1.106e-10
1262.0,1.098e-10
1264.0,1.089e-10
1266.0,1.081e-10
1268.0,1.073e-10
1270.0,1.065e-10
1272.0,1.058e-10
1274.0,1.05e-10
1276.0,1.043e-10
1278.0,1.036e-10
1280.0,1.028e-10
1282.0,1.022e-10
1284.0,1.015e-10
1286.0,1.008e-10
1288.0,1.001e-10
1290.0,9.95e-11
1292.0,9.887e-11
1294.0,9.825e-11
1296.0,9.765e-11
1298.0,9.705e-11
1300.0,9.647e-11
1302.0,9.591e-11
1304.0,9.535e-11
1306.0,9.48e-11
1308.0,9.427e-11
1310.0,9.375e-11
1312.0,9.324e-11
1314.0,9.274e-11
1316.0,9.225e-11
1318.0,9.177e-11
1320.0,9.131e-11
1322.0,9.085e-11
1324.0,9.04e-11
1326.0,8.997e-11
1328.0,8.954e-11
1330.0,8.913e-11
1332.0,8.872e-11
1334.0,8.833e-11
1336.0,8.794e-11
1338.0,8.757e-11
1340.0,8.72e-11
1342.0,8.684e-11
1344.0,8.65e-11
1346.0,8.616e-11
1348.0,8.583e-11
1350.0,8.551e-11
1352.0,8.52e-11
1354.0,8.49e-11
1356.0,8.461e-11
1358.0,8.432e-11
1360.0,8.405e-11
1362.0,8.378e-11
1364.0,8.352e-11
1366.0,8.327e-11
1368.0,8.303e-11
1370.0,8.28e-11
1372.0,8.257e-11
1374.0,8.236e-11
1376.0,8.215e-11
1378.0,8.195e-11
1380.0,8.176e-11
1382.0,8.158e-11
1384.0,8.14e-11
1386.0,8.123e-11
1388.0,8.107e-11
1390.0,8.092e-11
1392.0,8.078e-11
1394.0,8.064e-11
1396.0,8.051e-11
1398.0,8.039e-11
1400.0,8.028e-11
1402.0,8.018e-11
1404.0,8.008e-11
1406.0,7.999e-11
1408.0,7.991e-11
1410.0,7.983e-11
1412.0,7.976e-11
1414.0,7.971e-11
1416.0,7.965e-11
1418.0,7.961e-11
1420.0,7.957e-11
1422.0,7.954e-11
1424.0,7.952e-11
1426.0,7.951e-11
1428.0,7.95e-11
1430.0,7.95e-11
1432.0,7.951e-11
1434.0,7.952e-11
1436.0,7.955e-11
1438.0,7.958e-11
1440.0,7.961e-11
1442.0,7.966e-11
1444.0,7.971e-11
1446.0,7.977e-11
1448.0,7.984e-11
1450.0,7.991e-11
1452.0,8e-11
1454.0,8.009e-11
1456.0,8.018e-11
1458.0,8.029e-11
1460.0,8.04e-11
1462.0,8.052e-11
1464.0,8.065e-11
1466.0,8.079e-11
1468.0,8.093e-11
1470.0,8.108e-11
1472.0,8.124e-11
1474.0,8.141e-11
1476.0,8.158e-11
1478.0,8.176e-11
1480.0,8.195e-11
1482.0,8.215e-11
1484.0,8.235e-11
1486.0,8.257e-11
1488.0,8.279e-11
1490.0,8.302e-11
1492.0,8.326e-11
1494.0,8.35e-11
1496.0,8.376e-11
1498.0,8.402e-11
1500.0,8.429e-11
1502.0,8.457e-11
1504.0,8.486e-11
1506.0,8.515e-11
1508.0,8.546e-11
1510.0,8.577e-11
1512.0,8.609e-11
1514.0,8.642e-11
1516.0,8.676e-11
1518.0,8.711e-11
1520.0,8.747e-11
1522.0,8.783e-11
1524.0,8.821e-11
1526.0,8.859e-11
1528.0,8.898e-11
1530.0,8.939e-11
1532.0,8.98e-11
1534.0,9.022e-11
1536.0,9.065e-11
1538.0,9.109e-11
1540.0,9.155e-11
1542.0,9.201e-11
1544.0,9.248e-11
1546.0,9.296e-11
1548.0,9.345e-11
1550.0,9.395e-11
1552.0,9.446e-11
1554.0,9.499e-11
1556.0,9.552e-11
1558.0,9.606e-11
1560.0,9.662e-11
1562.0,9.719e-11
1564.0,9.776e-11
1566.0,9.835e-11
1568.0,9.895e-11
1570.0,9.956e-11
1572.0,1.002e-10
1574.0,1.008e-10
1576.0,1.015e-10
1578.0,1.021e-10
1580.0,1.028e-10
1582.0,1.035e-10
1584.0,1.042e-10
1586.0,1.049e-10
1588.0,1.056e-10
1590.0,1.063e-10
1592.0,1.071e-10
1594.0,1.079e-10
1596.0,1.086e-10
1598.0,1.094e-10
1600.0,1.102e-10
1602.0,1.111e-10
1604.0,1.119e-10
1606.0,1.127e-10
1608.0,1.136e-10
1610.0,1.145e-10
1612.0,1.154e-10
1614.0,1.163e-10
1616.0,1.172e-10
1618.0,1.181e-10
1620.0,1.191e-10
1622.0,1.201e-10
1624.0,1.211e-10
1626.0,1.221e-10
1628.0,1.231e-10
1630.0,1.241e-10
1632.0,1.252e-10
1634.0,1.263e-10
1636.0,1.274e-10
1638.0,1.285e-10
1640.0,1.296e-10
1642.0,1.308e-10
1644.0,1.319e-10
1646.0,1.331e-10
1648.0,1.344e-10
1650.0,1.356e-10
1652.0,1.368e-10
1654.0,1.381e-10
1656.0,1.394e-10
1658.0,1.407e-10
1660.0,1.421e-10
1662.0,1.435e-10
1664.0,1.448e-10
1666.0,1.463e-10
1668.0,1.477e-10
1670.0,1.492e-10
1672.0,1.506e-10
1674.0,1.522e-10
1676.0,1.537e-10
1678.0,1.553e-10
1680.0,1.568e-10
1682.0,1.585e-10
1684.0,1.601e-10
1686.0,1.618e-10
1688.0,1.635e-10
1690.0,1.652e-10
1692.0,1.67e-10
1694.0,1.688e-10
1696.0,1.706e-10
1698.0,1.725e-10
1700.0,1.744e-10
1702.0,1.763e-10
1704.0,1.782e-10
1706.0,1.802e-10
1708.0,1.823e-10
1710.0,1.843e-10
1712.0,1.864e-10
1714.0,1.886e-10
1716.0,1.907e-10
1718.0,1.929e-10
1720.0,1.952e-10
1722.0,1.975e-10
1724.0,1.998e-10
1726.0,2.022e-10
1728.0,2.046e-10
1730.0,2.071e-10
1732.0,2.096e-10
1734.0,2.122e-10
1736.0,2.148e-10
1738.0,2.174e-10
1740.0,2.202e-10
1742.0,2.229e-10
1744.0,2.257e-10
1746.0,2.286e-10
1748.0,2.315e-10
1750.0,2.345e-10
1752.0,2.375e-10
1754.0,2.406e-10
1756.0,2.438e-10
1758.0,2.47e-10
1760.0,2.503e-10
1762.0,2.536e-10
1764.0,2.57e-10
1766.0,2.605e-10
1768.0,2.641e-10
1770.0,2.677e-10
1772.0,2.714e-10
1774.0,2.752e-10
1776.0,2.791e-10
1778.0,2.831e-10
1780.0,2.871e-10
1782.0,2.913e-10
1784.0,2.955e-10
1786.0,2.999e-10
1788.0,3.043e-10
1790.0,3.089e-10
1792.0,3.136e-10
1794.0,3.184e-10
1796.0,3.234e-10
1798.0,3.285e-10
1800.0,3.337e-10
1802.0,3.391e-10
1804.0,3.447e-10
1806.0,3.505e-10
1808.0,3.564e-10
1810.0,3.626e-10
1812.0,3.689e-10
1814.0,3.754e-10
1816.0,3.822e-10
1818.0,3.892e-10
1820.0,3.965e-10
1822.0,4.041e-10
1824.0,4.12e-10
1826.0,4.203e-10
1828.0,4.29e-10
1830.0,4.381e-10
1832.0,4.478e-10
1834.0,4.581e-10
1836.0,4.691e-10
1838.0,4.807e-10
1840.0,4.931e-10
1842.0,5.062e-10
1844.0,5.2e-10
1846.0,5.346e-10
1848.0,5.499e-10
1850.0,5.659e-10
1852.0,5.826e-10
1854.0,6.002e-10
1856.0,6.189e-10
1858.0,6.392e-10
1860.0,6.606e-10
1862.0,6.834e-10
1864.0,7.08e-10
1866.0,7.348e-10
1868.0,7.643e-10
1870.0,7.974e-10
1872.0,8.351e-10
1874.0,8.791e-10
1876.0,9.301e-10
1878.0,9.894e-10
1880.0,1.059e-09
1882.0,1.14e-09
1884.0,1.235e-09
1886.0,1.346e-09
1888.0,1.472e-09
1890.0,1.616e-09
1892.0,1.777e-09
1894.0,1.954e-09
1896.0,2.147e-09
1898.0,2.347e-09
1900.0,2.549e-09
1902.0,2.747e-09
1904.0,2.941e-09
1906.0,3.126e-09
1908.0,3.309e-09
1910.0,3.589e-09
1912.0,3.848e-09
1914.0,4.066e-09
1916.0,4.238e-09
1918.0,4.365e-09
1920.0,4.445e-09
1922.0,4.481e-09
1924.0,4.474e-09
1926.0,4.426e-09
1928.0,4.341e-09
1930.0,4.223e-09
1932.0,4.076e-09
1934.0,3.905e-09
1936.0,3.717e-09
1938.0,3.516e-09
1940.0,3.308e-09
1942.0,3.1e-09
1944.0,2.897e-09
1946.0,2.701e-09
1948.0,2.514e-09
1950.0,2.332e-09
1952.0,2.156e-09
1954.0,1.985e-09
1956.0,1.819e-09
1958.0,1.659e-09
1960.0,1.635e-09
1962.0,1.63e-09
1964.0,1.634e-09
1966.0,1.642e-09
1968.0,1.654e-09
1970.0,1.668e-09
1972.0,1.685e-09
1974.0,1.705e-09
1976.0,1.728e-09
1978.0,1.754e-09
1980.0,1.785e-09
1982.0,1.819e-09
1984.0,1.859e-09
1986.0,1.903e-09
1988.0,1.952e-09
1990.0,2.007e-09
1992.0,2.068e-09
1994.0,2.134e-09
1996.0,2.207e-09
1998.0,2.287e-09
2000.0,2.374e-09
2002.0,2.469e-09
2004.0,2.573e-09
2006.0,2.686e-09
2008.0,2.81e-09
2010.0,2.947e-09
2012.0,3.098e-09
2014.0,3.285e-09
2016.0,3.494e-09
2018.0,3.729e-09
2020.0,3.999e-09
2022.0,4.311e-09
2024.0,4.677e-09
2026.0,5.11e-09
2028.0,5.628e-09
2030.0,6.239e-09
2032.0,6.963e-09
2034.0,7.806e-09
2036.0,8.772e-09
2038.0,9.86e-09
2040.0,1.106e-08
2042.0,1.236e-08
2044.0,1.375e-08
2046.0,1.519e-08
2048.0,1.666e-08
2050.0,1.817e-08
2052.0,1.962e-08
2054.0,2.24e-08
2056.0,2.516e-08
2058.0,2.762e-08
2060.0,2.977e-08
2062.0,3.157e-08
2064.0,3.303e-08
2066.0,3.411e-08
2068.0,3.479e-08
2070.0,3.524e-08
2072.0,3.533e-08
2074.0,3.506e-08
2076.0,3.445e-08
2078.0,3.353e-08
2080.0,3.236e-08
2082.0,3.096e-08
2084.0,2.939e-08
2086.0,2.769e-08
2088.0,2.589e-08
2090.0,2.404e-08
2092.0,2.215e-08
2094.0,2.024e-08
2096.0,1.832e-08
2098.0,1.64e-08
2100.0,1.449e-08
2102.0,1.261e-08
2104.0,1.203e-08
2106.0,1.188e-08
2108.0,1.185e-08
2110.0,1.188e-08
2112.0,1.195e-08
2114.0,1.205e-08
2116.0,1.216e-08
2118.0,1.228e-08
2120.0,1.25e-08
2122.0,1.278e-08
2124.0,1.307e-08
2126.0,1.337e-08
2128.0,1.369e-08
2130.0,1.402e-08
2132.0,1.436e-08
2134.0,1.474e-08
2136.0,1.513e-08
2138.0,1.556e-08
2140.0,1.601e-08
2142.0,1.651e-08
2144.0,1.703e-08
2146.0,1.76e-08
2148.0,1.821e-08
2150.0,1.886e-08
2152.0,1.957e-08
2154.0,2.032e-08
2156.0,2.119e-08
2158.0,2.213e-08
2160.0,2.313e-08
2162.0,2.42e-08
2164.0,2.534e-08
2166.0,2.656e-08
2168.0,2.785e-08
2170.0,2.923e-08
2172.0,3.07e-08
2174.0,3.228e-08
2176.0,3.396e-08
2178.0,3.577e-08
2180.0,3.772e-08
2182.0,3.981e-08
2184.0,4.207e-08
2186.0,4.451e-08
2188.0,4.715e-08
2190.0,5.001e-08
2192.0,5.313e-08
2194.0,5.654e-08
2196.0,6.027e-08
2198.0,6.438e-08
2200.0,6.891e-08
2202.0,7.395e-08
2204.0,7.959e-08
2206.0,8.594e-08
2208.0,9.315e-08
2210.0,1.014e-07
2212.0,1.109e-07
2214.0,1.22e-07
2216.0,1.351e-07
2218.0,1.506e-07
2220.0,1.691e-07
2222.0,1.914e-07
2224.0,2.184e-07
2226.0,2.511e-07
2228.0,2.91e-07
2230.0,3.396e-07
2232.0,3.986e-07
2234.0,4.703e-07
2236.0,5.565e-07
2238.0,6.598e-07
2240.0,7.824e-07
2242.0,9.26e-07
2244.0,1.092e-06
2246.0,1.282e-06
2248.0,1.495e-06
2250.0,1.73e-06
2252.0,1.984e-06
2254.0,2.254e-06
2256.0,2.533e-06
2258.0,2.816e-06
2260.0,3.1e-06
2262.0,3.386e-06
2264.0,3.683e-06
2266.0,3.999e-06
2268.0,4.343e-06
2270.0,4.721e-06
2272.0,5.14e-06
2274.0,5.603e-06
2276.0,6.119e-06
2278.0,6.699e-06
2280.0,7.361e-06
2282.0,8.132e-06
2284.0,9.049e-06
2286.0,1.017e-05
2288.0,1.155e-05
2290.0,1.329e-05
2292.0,1.549e-05
2294.0,1.827e-05
2296.0,2.178e-05
2298.0,2.619e-05
2300.0,3.169e-05
2302.0,3.845e-05
2304.0,4.668e-05
2306.0,5.656e-05
2308.0,6.822e-05
2310.0,8.175e-05
2312.0,9.719e-05
2314.0,0.0001145
2316.0,0.0001334
2318.0,0.0001537
2320.0,0.0001748
2322.0,0.000196
2324.0,0.0002167
2326.0,0.0002363
2328.0,0.0002549
2330.0,0.0002731
2332.0,0.0002911
2334.0,0.0003094
2336.0,0.0003277
2338.0,0.0003458
2340.0,0.0003629
2342.0,0.0003782
2344.0,0.000391
2346.0,0.0004003
2348.0,0.0004058
2350.0,0.0004069
2352.0,0.0004038
2354.0,0.0003964
2356.0,0.0003853
2358.0,0.0003709
2360.0,0.0003538
2362.0,0.0003348
2364.0,0.0003143
2366.0,0.0002928
2368.0,0.0002707
2370.0,0.0002481
2372.0,0.000225
2374.0,0.000201
2376.0,0.000176
2378.0,0.0001504
2380.0,0.000125
2382.0,0.000101
2384.0,7.907e-05
2386.0,6.005e-05
2388.0,4.43e-05
2390.0,3.18e-05
2392.0,2.231e-05
2394.0,1.544e-05
2396.0,1.069e-05
2398.0,7.481e-06
2400.0,5.397e-06
2402.0,4.055e-06
2404.0,3.178e-06
2406.0,2.581e-06
2408.0,2.153e-06
2410.0,1.827e-06
2412.0,1.568e-06
2414.0,1.357e-06
2416.0,1.182e-06
2418.0,1.035e-06
