x,f
27370.0,0.0013
27375.0,0.0013
27380.0,0.0013
27385.0,0.0013
27390.0,0.0013
27395.0,0.0013
27400.0,0.0013
27405.0,0.0013
27410.0,0.0013
27415.0,0.0013
27420.0,0.0013
27425.0,0.0013
27430.0,0.0013
27435.0,0.0013
27440.0,0.0013
27445.0,0.0013
27450.0,0.0013
27455.0,0.0013
27460.0,0.0013
27465.0,0.0013
27470.0,0.0013
27475.0,0.0013
27480.0,0.0013
27485.0,0.0013
27490.0,0.0013
27495.0,0.0013
27500.0,0.0013
27505.0,0.0013
27510.0,0.0013
27515.0,0.0013
27520.0,0.0013
27525.0,0.0013
27530.0,0.0013
27535.0,0.0013
27540.0,0.0013
27545.0,0.0013
27550.0,0.0013
27555.0,0.0013
27560.0,0.0013
27565.0,0.0013
27570.0,0.0013
27575.0,0.0013
27580.0,0.0013
27585.0,0.0013
27590.0,0.0013
27595.0,0.0013
27600.0,0.0013
27605.0,0.0013
27610.0,0.0013
27615.0,0.0013
27620.0,0.0013
27625.0,0.0013
27630.0,0.0013
27635.0,0.0013
27640.0,0.0013
27645.0,0.0013
27650.0,0.0013
27655.0,0.0013
27660.0,0.0013
27665.0,0.0013
27670.0,0.0013
27675.0,0.0013
27680.0,0.0013
27685.0,0.0013
27690.0,0.0013
27695.0,0.0013
27700.0,0.0013
27705.0,0.0013
27710.0,0.0013
27715.0,0.0013
27720.0,0.0013
27725.0,0.0013
27730.0,0.0013
27735.0,0.0013
27740.0,0.0013
27745.0,0.0013
27750.0,0.0013
27755.0,0.0013
27760.0,0.0013
27765.0,0.0013
27770.0,0.0013
27775.0,0.0013
27780.0,0.0013
27785.0,0.0013
27790.0,0.0013
27795.0,0.0013733
27800.0,0.00162821
27805.0,0.00201703
27810.0,0.00254574
27815.0,0.00320275
27820.0,0.00389777
27825.0,0.00462165
27830.0,0.00526292
27835.0,0.00586986
27840.0,0.00641494
27845.0,0.00696761
27850.0,0.00748539
27855.0,0.007896
27860.0,0.00787305
27865.0,0.00781981
27870.0,0.00763864
27875.0,0.00767455
27880.0,0.00772586
27885.0,0.00769784
27890.0,0.00757367
27895.0,0.00727336
27900.0,0.00714064
27905.0,0.00724207
27910.0,0.00709851
27915.0,0.00693654
27920.0,0.00689385
27925.0,0.00705768
27930.0,0.00685578
27935.0,0.00658301
27940.0,0.00650848
27945.0,0.00652083
27950.0,0.0064659
27955.0,0.00670692
27960.0,0.00692053
27965.0,0.00717734
27970.0,0.00705364
27975.0,0.0066344
27980.0,0.00654702
27985.0,0.00627173
27990.0,0.0059815
27995.0,0.00566579
28000.0,0.00551549
28005.0,0.00550291
28010.0,0.00593271
28015.0,0.0063695
28020.0,0.00718562
28025.0,0.00751767
28030.0,0.00653815
28035.0,0.00722341
28040.0,0.00863056
28045.0,0.0091174
28050.0,0.00880903
28055.0,0.00859902
28060.0,0.00774287
28065.0,0.00733509
28070.0,0.0075018
28075.0,0.00781686
28080.0,0.00785635
28085.0,0.00808554
28090.0,0.00721968
28095.0,0.00799028
28100.0,0.00990724
28105.0,0.0129121
28110.0,0.0154686
28115.0,0.0160876
28120.0,0.015953
28125.0,0.015704
28130.0,0.0159499
28135.0,0.0163961
28140.0,0.017267
28145.0,0.0181634
28150.0,0.0195519
28155.0,0.0214181
28160.0,0.022867
28165.0,0.0233506
28170.0,0.0222736
28175.0,0.0214296
28180.0,0.0215271
28185.0,0.023073
28190.0,0.023622
28195.0,0.0244466
28200.0,0.0244476
28205.0,0.0239223
28210.0,0.0241386
28215.0,0.0253687
28220.0,0.0267491
28225.0,0.0280425
28230.0,0.0277558
28235.0,0.0282626
28240.0,0.0286776
28245.0,0.0288781
28250.0,0.0289248
28255.0,0.0289983
28260.0,0.0285534
28265.0,0.0287102
28270.0,0.0283695
28275.0,0.0276719
28280.0,0.0276091
28285.0,0.0290733
28290.0,0.0280388
28295.0,0.0273706
28300.0,0.0265055
28305.0,0.0261268
28310.0,0.0245892
28315.0,0.0237213
28320.0,0.0222542
28325.0,0.0210116
28330.0,0.0202852
28335.0,0.0197635
28340.0,0.0194079
28345.0,0.0190997
28350.0,0.0185598
28355.0,0.0179221
28360.0,0.0177887
28365.0,0.0173709
28370.0,0.0167263
28375.0,0.0160932
28380.0,0.0150775
28385.0,0.0139563
28390.0,0.0123691
28395.0,0.0107402
28400.0,0.00935859
28405.0,0.00843786
28410.0,0.00792075
28415.0,0.00733239
28420.0,0.00673638
28425.0,0.0062874
28430.0,0.0058564
28435.0,0.00585384
28440.0,0.00610577
28445.0,0.0072605
28450.0,0.00966384
28455.0,0.0129629
28460.0,0.0169596
28465.0,0.0203465
28470.0,0.0226429
28475.0,0.0239653
28480.0,0.024797
28485.0,0.0251993
28490.0,0.0251383
28495.0,0.0252014
28500.0,0.0247766
28505.0,0.0247171
28510.0,0.0247478
28515.0,0.0243986
28520.0,0.0243498
28525.0,0.0240537
28530.0,0.0240574
28535.0,0.0240446
28540.0,0.0240847
28545.0,0.02394
28550.0,0.0242127
28555.0,0.0247123
28560.0,0.0252914
28565.0,0.0252103
28570.0,0.0251421
28575.0,0.0243229
28580.0,0.0237902
28585.0,0.0230865
28590.0,0.0228174
28595.0,0.022883
28600.0,0.0233671
28605.0,0.0238274
28610.0,0.0246699
28615.0,0.0256739
28620.0,0.0261408
28625.0,0.0262898
28630.0,0.0264228
28635.0,0.0255561
28640.0,0.0247095
28645.0,0.0239071
28650.0,0.0234319
28655.0,0.0228738
28660.0,0.0223434
28665.0,0.0218888
28670.0,0.0213639
28675.0,0.0211937
28680.0,0.021011
28685.0,0.0207672
28690.0,0.0200697
28695.0,0.0197605
28700.0,0.0191208
28705.0,0.0182056
28710.0,0.0173945
28715.0,0.0164542
28720.0,0.0153969
28725.0,0.0141816
28730.0,0.0135665
28735.0,0.0127109
28740.0,0.0118254
28745.0,0.0111489
28750.0,0.0103984
28755.0,0.010076
28760.0,0.00986649
28765.0,0.00976766
28770.0,0.00941662
28775.0,0.00919082
28780.0,0.00944272
28785.0,0.0104547
28790.0,0.0124713
28795.0,0.014931
28800.0,0.0170272
28805.0,0.0186057
28810.0,0.0193555
28815.0,0.019835
28820.0,0.0200041
28825.0,0.0201233
28830.0,0.0201917
28835.0,0.0198918
28840.0,0.0196649
28845.0,0.0195162
28850.0,0.0201044
28855.0,0.0206711
28860.0,0.0208881
28865.0,0.0204812
28870.0,0.0192249
28875.0,0.0180188
28880.0,0.0169496
28885.0,0.0160488
28890.0,0.0152865
28895.0,0.014694
28900.0,0.0141067
28905.0,0.0135675
28910.0,0.0131094
28915.0,0.0127542
28920.0,0.013073
28925.0,0.012795
28930.0,0.012753
28935.0,0.012868
28940.0,0.012885
28945.0,0.012554
28950.0,0.012106
28955.0,0.011616
28960.0,0.011394
28965.0,0.011092
28970.0,0.010682
28975.0,0.010519
28980.0,0.0097219
28985.0,0.0093434
28990.0,0.008526
28995.0,0.0083333
29000.0,0.0078582
29005.0,0.0068295
29010.0,0.0067963
29015.0,0.0067516
29020.0,0.006293
29025.0,0.0061615
29030.0,0.006125
29035.0,0.0059011
29040.0,0.0057823
29045.0,0.0054688
29050.0,0.0050978
29055.0,0.0044526
29060.0,0.003809
29065.0,0.003231
29070.0,0.0030128
29075.0,0.0039063
29080.0,0.0067911
29085.0,0.0093161
29090.0,0.010256
29095.0,0.010183
29100.0,0.0098289
29105.0,0.0095683
29110.0,0.0090406
29115.0,0.0087148
29120.0,0.0085284
29125.0,0.0086149
29130.0,0.0087238
29135.0,0.0093679
29140.0,0.010683
29145.0,0.012016
29150.0,0.013097
29155.0,0.01361
29160.0,0.013588
29165.0,0.013805
29170.0,0.013928
29175.0,0.013903
29180.0,0.013446
29185.0,0.013258
29190.0,0.013194
29195.0,0.012703
29200.0,0.012393
29205.0,0.012487
29210.0,0.012341
29215.0,0.012388
29220.0,0.012061
29225.0,0.012122
29230.0,0.01185
29235.0,0.012032
29240.0,0.011806
29245.0,0.01181
29250.0,0.011572
29255.0,0.011397
29260.0,0.01098
29265.0,0.011012
29270.0,0.010524
29275.0,0.010518
29280.0,0.010227
29285.0,0.0096837
29290.0,0.0096425
29295.0,0.0089938
29300.0,0.0091488
29305.0,0.0088595
29310.0,0.0085976
29315.0,0.0084447
29320.0,0.0080731
29325.0,0.0080283
29330.0,0.0077827
29335.0,0.0077638
29340.0,0.0072438
29345.0,0.0068246
29350.0,0.0063457
29355.0,0.0056632
29360.0,0.00525
29365.0,0.0043593
29370.0,0.0039431
29375.0,0.003158
29380.0,0.0022298
29385.0,0.0017818
29390.0,0.0014513
29395.0,0.0013188
29400.0,0.0021034
29405.0,0.00645621
29410.0,0.00711308
29415.0,0.010613
29420.0,0.0136338
29425.0,0.0127746
29430.0,0.0142152
29435.0,0.0141144
29440.0,0.016483
29445.0,0.016711
29450.0,0.0157368
29455.0,0.0154644
29460.0,0.0145248
29465.0,0.0143206
29470.0,0.0156946
29475.0,0.0154268
29480.0,0.01375
29485.0,0.0150224
29490.0,0.0160919
29495.0,0.0149099
29500.0,0.015396
29505.0,0.0161871
29510.0,0.0146539
29515.0,0.0138258
29520.0,0.0132571
29525.0,0.012158
29530.0,0.0139596
29535.0,0.0116029
29540.0,0.0147042
29545.0,0.0107441
29550.0,0.0108999
29555.0,0.0105562
29560.0,0.0100589
29565.0,0.00960711
29570.0,0.0093695
29575.0,0.00765303
29580.0,0.00686216
29585.0,0.00705344
29590.0,0.00690728
29595.0,0.00678627
29600.0,0.00697435
29605.0,0.00575456
29610.0,0.00581685
29615.0,0.00500915
29620.0,0.00490259
29625.0,0.00442545
29630.0,0.00414633
29635.0,0.00361657
29640.0,0.00308178
29645.0,0.0029168
29650.0,0.00294554
29655.0,0.00335794
29660.0,0.00549025
29665.0,0.00709867
29670.0,0.00682592
29675.0,0.00884835
29680.0,0.00915718
29685.0,0.00917935
29690.0,0.00831848
29695.0,0.00779481
29700.0,0.00775125
29705.0,0.00695844
29710.0,0.00734506
29715.0,0.00753823
29720.0,0.00703272
29725.0,0.00757051
29730.0,0.00920239
29735.0,0.0110864
29740.0,0.0116188
29745.0,0.0130029
29750.0,0.0144364
29755.0,0.0129292
29760.0,0.0136031
29765.0,0.0135967
29770.0,0.0130412
29775.0,0.0129874
29780.0,0.0114829
29785.0,0.0118009
29790.0,0.0120829
29795.0,0.0117831
29800.0,0.0121489
29805.0,0.0127019
29810.0,0.0125557
29815.0,0.0123812
29820.0,0.0120158
29825.0,0.0126749
29830.0,0.0117139
29835.0,0.0114552
29840.0,0.0111268
29845.0,0.00979143
29850.0,0.00879741
29855.0,0.00885709
29860.0,0.00857653
29865.0,0.00893908
29870.0,0.00846205
29875.0,0.00856506
29880.0,0.00814319
29885.0,0.00814415
29890.0,0.00774205
29895.0,0.00780727
29900.0,0.00749886
29905.0,0.00771114
29910.0,0.00655963
29915.0,0.0068755
29920.0,0.00639162
29925.0,0.00555359
29930.0,0.00543275
29935.0,0.00490649
29940.0,0.00441165
29945.0,0.00421875
29950.0,0.00362592
29955.0,0.003407
29960.0,0.00240267
29965.0,0.00261479
29970.0,0.00275677
29975.0,0.00410842
29980.0,0.00579601
29985.0,0.00710708
29990.0,0.00807826
29995.0,0.00816166
30000.0,0.0087262
30005.0,0.00885878
30010.0,0.00872755
30015.0,0.00825811
30020.0,0.008121
30025.0,0.00778534
30030.0,0.00739762
30035.0,0.0084388
30040.0,0.00853789
30045.0,0.00990072
30050.0,0.0101668
30055.0,0.0100827
30060.0,0.00973556
30065.0,0.00957462
30070.0,0.0101289
30075.0,0.011067
30080.0,0.0103508
30085.0,0.0100929
30090.0,0.00910236
30095.0,0.00939459
30100.0,0.00879601
30105.0,0.00867936
30110.0,0.00853862
30115.0,0.00795459
30120.0,0.00804037
30125.0,0.00795361
30130.0,0.00787432
30135.0,0.00699165
30140.0,0.00737107
30145.0,0.00609187
30150.0,0.0062103
30155.0,0.00533277
30160.0,0.00504633
30165.0,0.00445811
30170.0,0.00434153
30175.0,0.00398596
30180.0,0.00384225
30185.0,0.00341943
30190.0,0.00360535
30195.0,0.00281691
30200.0,0.00249771
30205.0,0.00235046
30210.0,0.00250947
30215.0,0.00375462
30220.0,0.00492349
30225.0,0.00509294
30230.0,0.00498312
30235.0,0.00519325
30240.0,0.00441827
30245.0,0.00425192
30250.0,0.00446745
30255.0,0.00408731
30260.0,0.00384776
30265.0,0.00367507
30270.0,0.00376845
30275.0,0.0036921
30280.0,0.00459864
30285.0,0.00642677
30290.0,0.00783255
30295.0,0.00789247
30300.0,0.00810883
30305.0,0.00800825
30310.0,0.00840322
30315.0,0.00797108
30320.0,0.00824714
30325.0,0.00839006
30330.0,0.00868787
30335.0,0.00861108
30340.0,0.00881552
30345.0,0.00936996
30350.0,0.00908243
30355.0,0.00969116
30360.0,0.00966185
30365.0,0.00922856
30370.0,0.00965086
30375.0,0.00935398
30380.0,0.00906358
30385.0,0.00876851
30390.0,0.00843072
30395.0,0.00785659
30400.0,0.00793936
30405.0,0.00749712
30410.0,0.00720199
30415.0,0.00694581
30420.0,0.00664086
30425.0,0.00612627
30430.0,0.00613967
30435.0,0.0056731
30440.0,0.00509928
30445.0,0.00459112
30450.0,0.00395257
30455.0,0.00367652
30460.0,0.00328781
30465.0,0.00277471
30470.0,0.00274494
30475.0,0.00215529
30480.0,0.00195283
30485.0,0.00175043
30490.0,0.00160419
30495.0,0.00182688
30500.0,0.00234667
30505.0,0.00292502
30510.0,0.00388322
30515.0,0.00439984
30520.0,0.00467814
30525.0,0.00480395
30530.0,0.0046913
30535.0,0.00454564
30540.0,0.00446773
30545.0,0.00459178
30550.0,0.00437498
30555.0,0.00412706
30560.0,0.00418299
30565.0,0.00457267
30570.0,0.00560127
30575.0,0.00651936
30580.0,0.00710498
30585.0,0.0074987
30590.0,0.00789554
30595.0,0.00797428
30600.0,0.00821044
30605.0,0.00806324
30610.0,0.00776648
30615.0,0.00762238
30620.0,0.00777675
30625.0,0.00746905
30630.0,0.00761115
30635.0,0.00742715
30640.0,0.00728461
30645.0,0.00751514
30650.0,0.00738782
30655.0,0.00697206
30660.0,0.00652738
30665.0,0.00610147
30670.0,0.00587553
30675.0,0.00549218
30680.0,0.00494873
30685.0,0.0044792
30690.0,0.00425005
30695.0,0.00398094
30700.0,0.00392084
30705.0,0.00341707
30710.0,0.00330501
30715.0,0.00309208
30720.0,0.00319686
